awayteam,date,away_FG,away_FGA,away_FGpct,away_3P,away_3PA,away_3Ppct,away_FT,away_FTA,away_FTpct,away_PF,away_PTS
Sacramento Kings,2018-01-30,46,97,.474,10,26,.385,12,14,.857,21,114
Brooklyn Nets,2018-01-30,36,87,.414,9,37,.243,14,16,.875,21,95
Denver Nuggets,2018-01-30,40,86,.465,10,23,.435,14,14,1.000,14,104
Minnesota Timberwolves,2018-01-30,42,85,.494,5,12,.417,15,24,.625,19,104
Golden State Warriors,2018-01-30,39,85,.459,5,25,.200,16,21,.762,16,99
Oklahoma City Thunder,2018-01-30,30,80,.375,9,32,.281,27,34,.794,24,96
Charlotte Hornets,2018-01-31,46,90,.511,17,32,.531,14,18,.778,21,123
New York Knicks,2018-01-31,28,87,.322,3,17,.176,14,21,.667,17,73
Philadelphia 76ers,2018-01-31,36,76,.474,7,18,.389,29,34,.853,21,108
Miami Heat,2018-01-31,36,83,.434,3,28,.107,14,25,.560,25,89
Memphis Grizzlies,2018-01-31,39,82,.476,12,26,.462,11,15,.733,21,101
Los Angeles Lakers,2018-01-31,39,83,.470,4,20,.200,23,30,.767,18,105
Dallas Mavericks,2018-01-31,32,88,.364,10,36,.278,14,26,.538,18,88
Chicago Bulls,2018-01-31,41,99,.414,13,34,.382,13,22,.591,16,108
Oklahoma City Thunder,2018-02-01,51,98,.520,9,28,.321,13,17,.765,18,124
Memphis Grizzlies,2018-02-01,40,96,.417,8,31,.258,14,14,1.000,24,102
Milwaukee Bucks,2018-02-01,32,85,.376,6,29,.207,19,25,.760,21,89
Houston Rockets,2018-02-01,37,83,.446,14,42,.333,14,17,.824,16,102
Toronto Raptors,2018-02-01,44,83,.530,12,29,.414,19,24,.792,26,119
Atlanta Hawks,2018-02-02,34,80,.425,11,31,.355,31,34,.912,18,110
Los Angeles Lakers,2018-02-02,39,92,.424,10,26,.385,14,20,.700,18,102
Indiana Pacers,2018-02-02,44,87,.506,12,29,.414,26,28,.929,25,126
New York Knicks,2018-02-02,36,89,.404,5,25,.200,13,17,.765,21,90
New Orleans Pelicans,2018-02-02,46,90,.511,13,24,.542,9,13,.692,20,114
Miami Heat,2018-02-02,34,87,.391,12,37,.324,17,26,.654,16,97
Utah Jazz,2018-02-02,51,90,.567,15,29,.517,12,17,.706,21,129
Golden State Warriors,2018-02-02,44,80,.550,17,33,.515,14,16,.875,19,119
Portland Trail Blazers,2018-02-02,37,73,.507,7,21,.333,24,33,.727,15,105
Houston Rockets,2018-02-03,44,93,.473,19,51,.373,13,16,.813,19,120
Golden State Warriors,2018-02-03,43,86,.500,8,31,.258,14,23,.609,23,108
Miami Heat,2018-02-03,44,91,.484,14,36,.389,5,7,.714,14,107
Philadelphia 76ers,2018-02-03,33,87,.379,10,32,.313,16,24,.667,21,92
Chicago Bulls,2018-02-03,35,97,.361,12,37,.324,21,21,1.000,20,103
New Orleans Pelicans,2018-02-03,42,101,.416,8,33,.242,15,17,.882,11,107
Washington Wizards,2018-02-03,46,85,.541,7,26,.269,16,18,.889,19,115
Dallas Mavericks,2018-02-03,41,83,.494,13,41,.317,11,14,.786,12,106
Utah Jazz,2018-02-03,39,69,.565,12,23,.522,30,36,.833,19,120
Portland Trail Blazers,2018-02-04,36,91,.396,13,31,.419,11,14,.786,17,96
Milwaukee Bucks,2018-02-04,42,81,.519,8,19,.421,17,21,.810,16,109
Atlanta Hawks,2018-02-04,35,87,.402,15,33,.455,14,19,.737,12,99
Los Angeles Lakers,2018-02-04,42,86,.488,13,30,.433,11,18,.611,20,108
Charlotte Hornets,2018-02-04,40,96,.417,10,38,.263,25,29,.862,17,115
Memphis Grizzlies,2018-02-04,29,81,.358,8,25,.320,20,23,.870,23,86
Charlotte Hornets,2018-02-05,39,77,.506,11,26,.423,15,24,.625,16,104
Portland Trail Blazers,2018-02-05,37,94,.394,10,33,.303,7,8,.875,14,91
Washington Wizards,2018-02-05,45,82,.549,7,25,.280,14,17,.824,23,111
Dallas Mavericks,2018-02-05,33,80,.413,17,42,.405,18,20,.900,23,101
Orlando Magic,2018-02-05,41,84,.488,13,30,.433,16,19,.842,26,111
Utah Jazz,2018-02-05,52,89,.584,14,21,.667,15,17,.882,18,133
Chicago Bulls,2018-02-05,32,80,.400,14,36,.389,20,24,.833,21,98
Memphis Grizzlies,2018-02-06,34,79,.430,4,22,.182,10,13,.769,24,82
Houston Rockets,2018-02-06,45,81,.556,16,33,.485,17,21,.810,14,123
Oklahoma City Thunder,2018-02-06,44,93,.473,12,31,.387,25,33,.758,28,125
Phoenix Suns,2018-02-06,36,94,.383,8,29,.276,13,23,.565,18,93
Milwaukee Bucks,2018-02-06,37,82,.451,8,26,.308,21,27,.778,17,103
Cleveland Cavaliers,2018-02-06,36,84,.429,12,37,.324,14,20,.700,24,98
Washington Wizards,2018-02-06,41,93,.441,7,27,.259,13,18,.722,18,102
Boston Celtics,2018-02-06,33,83,.398,10,23,.435,15,20,.750,19,91
Minnesota Timberwolves,2018-02-07,54,93,.581,19,33,.576,11,12,.917,19,138
Brooklyn Nets,2018-02-07,39,90,.433,17,51,.333,11,12,.917,20,106
Utah Jazz,2018-02-07,29,69,.420,6,22,.273,28,33,.848,16,92
Houston Rockets,2018-02-07,38,74,.514,12,31,.387,21,26,.808,16,109
San Antonio Spurs,2018-02-07,46,93,.495,16,32,.500,21,27,.778,17,129
Dallas Mavericks,2018-02-08,40,92,.435,9,37,.243,14,17,.824,16,103
Oklahoma City Thunder,2018-02-08,32,90,.356,8,34,.235,9,19,.474,11,81
Atlanta Hawks,2018-02-08,37,87,.425,12,30,.400,12,18,.667,23,98
Charlotte Hornets,2018-02-08,38,98,.388,13,33,.394,14,17,.824,16,103
New York Knicks,2018-02-08,33,83,.398,7,27,.259,15,18,.833,15,88
Boston Celtics,2018-02-08,39,84,.464,9,26,.346,23,34,.676,20,110
Cleveland Cavaliers,2018-02-09,46,86,.535,15,35,.429,16,24,.667,17,123
Indiana Pacers,2018-02-09,37,83,.446,5,20,.250,18,22,.818,20,97
Minnesota Timberwolves,2018-02-09,41,87,.471,8,22,.364,23,28,.821,22,113
Los Angeles Clippers,2018-02-09,42,91,.462,10,30,.333,14,15,.933,16,108
Denver Nuggets,2018-02-09,42,88,.477,3,28,.107,17,21,.810,20,104
Milwaukee Bucks,2018-02-09,32,76,.421,6,20,.300,15,17,.882,20,85
New Orleans Pelicans,2018-02-09,33,95,.347,8,31,.258,8,16,.500,12,82
Portland Trail Blazers,2018-02-09,43,88,.489,15,35,.429,17,18,.944,21,118
Charlotte Hornets,2018-02-09,35,85,.412,9,24,.375,15,19,.789,18,94
New Orleans Pelicans,2018-02-10,52,106,.491,9,24,.375,25,39,.641,18,138
Washington Wizards,2018-02-10,38,82,.463,13,38,.342,12,14,.857,17,101
Los Angeles Lakers,2018-02-10,46,84,.548,16,34,.471,15,22,.682,25,123
San Antonio Spurs,2018-02-10,43,94,.457,5,27,.185,14,19,.737,13,105
Milwaukee Bucks,2018-02-10,43,82,.524,9,25,.360,16,20,.800,16,111
Los Angeles Clippers,2018-02-10,38,88,.432,8,32,.250,14,23,.609,16,98
Denver Nuggets,2018-02-10,45,88,.511,13,29,.448,20,22,.909,23,123
Detroit Pistons,2018-02-11,38,83,.458,13,33,.394,26,33,.788,28,115
Cleveland Cavaliers,2018-02-11,45,84,.536,16,30,.533,15,20,.750,20,121
Toronto Raptors,2018-02-11,49,87,.563,18,37,.486,7,10,.700,24,123
Dallas Mavericks,2018-02-11,38,93,.409,10,31,.323,11,16,.688,25,97
New York Knicks,2018-02-11,41,93,.441,9,35,.257,22,25,.880,18,113
Sacramento Kings,2018-02-11,42,88,.477,10,25,.400,12,17,.706,23,106
Memphis Grizzlies,2018-02-11,32,82,.390,6,28,.214,22,24,.917,32,92
Utah Jazz,2018-02-11,41,88,.466,13,26,.500,20,22,.909,22,115
Los Angeles Clippers,2018-02-12,48,85,.565,6,16,.375,12,14,.857,14,114
Orlando Magic,2018-02-12,37,84,.440,10,31,.323,17,19,.895,18,101
New Orleans Pelicans,2018-02-12,44,100,.440,14,34,.412,16,16,1.000,25,118
Phoenix Suns,2018-02-12,33,95,.347,3,23,.130,14,22,.636,17,83
New York Knicks,2018-02-12,31,79,.392,6,24,.250,24,28,.857,22,92
San Antonio Spurs,2018-02-12,38,85,.447,6,25,.240,17,25,.680,24,99
Sacramento Kings,2018-02-13,47,87,.540,12,29,.414,8,12,.667,19,114
San Antonio Spurs,2018-02-13,44,82,.537,6,22,.273,15,22,.682,22,109
Atlanta Hawks,2018-02-13,33,86,.384,12,35,.343,14,20,.700,14,92
Houston Rockets,2018-02-13,41,83,.494,22,47,.468,22,29,.759,23,126
Cleveland Cavaliers,2018-02-13,45,88,.511,16,36,.444,14,22,.636,28,120
Miami Heat,2018-02-13,42,86,.488,12,29,.414,16,19,.842,18,112
Los Angeles Clippers,2018-02-14,44,88,.500,11,29,.379,30,33,.909,21,129
Indiana Pacers,2018-02-14,39,90,.433,6,15,.400,24,28,.857,20,108
Toronto Raptors,2018-02-14,48,92,.522,14,38,.368,12,15,.800,22,122
Atlanta Hawks,2018-02-14,38,89,.427,6,33,.182,16,19,.842,21,98
Sacramento Kings,2018-02-14,38,87,.437,10,32,.313,5,8,.625,20,91
Oklahoma City Thunder,2018-02-14,40,81,.494,17,37,.459,24,35,.686,19,121
Los Angeles Lakers,2018-02-14,46,90,.511,10,22,.455,15,18,.833,21,117
Washington Wizards,2018-02-14,48,88,.545,7,22,.318,15,19,.789,16,118
Charlotte Hornets,2018-02-14,38,88,.432,13,30,.433,15,19,.789,15,104
Miami Heat,2018-02-14,35,77,.455,11,27,.407,21,29,.724,21,102
Golden State Warriors,2018-02-14,43,90,.478,13,37,.351,18,19,.947,24,117
Phoenix Suns,2018-02-14,34,79,.430,12,29,.414,17,24,.708,25,97
Denver Nuggets,2018-02-15,47,85,.553,24,40,.600,16,20,.800,23,134
Los Angeles Lakers,2018-02-15,43,94,.457,7,31,.226,18,26,.692,26,111
Philadelphia 76ers,2018-02-22,42,82,.512,11,29,.379,21,35,.600,17,116
Brooklyn Nets,2018-02-22,36,93,.387,14,43,.326,10,14,.714,23,96
Washington Wizards,2018-02-22,44,92,.478,12,30,.400,10,10,1.000,23,110
Los Angeles Clippers,2018-02-22,44,88,.500,11,32,.344,28,34,.824,19,127
New York Knicks,2018-02-22,48,99,.485,7,25,.280,17,21,.810,15,120
Oklahoma City Thunder,2018-02-22,38,86,.442,14,35,.400,20,24,.833,16,110
San Antonio Spurs,2018-02-23,43,85,.506,5,16,.313,28,39,.718,20,119
Boston Celtics,2018-02-23,41,85,.482,17,39,.436,11,18,.611,22,110
Minnesota Timberwolves,2018-02-23,40,94,.426,10,26,.385,12,16,.750,22,102
Atlanta Hawks,2018-02-23,37,82,.451,7,31,.226,12,19,.632,20,93
Dallas Mavericks,2018-02-23,37,91,.407,19,42,.452,9,11,.818,19,102
Cleveland Cavaliers,2018-02-23,40,87,.460,11,29,.379,21,22,.955,23,112
Miami Heat,2018-02-23,50,108,.463,6,18,.333,17,26,.654,23,123
Los Angeles Clippers,2018-02-23,45,87,.517,14,32,.438,24,32,.750,26,128
Milwaukee Bucks,2018-02-23,43,90,.478,13,26,.500,23,27,.852,24,122
Portland Trail Blazers,2018-02-23,39,87,.448,9,24,.375,13,14,.929,20,100
Charlotte Hornets,2018-02-23,44,90,.489,17,39,.436,17,20,.850,18,122
Oklahoma City Thunder,2018-02-24,29,88,.330,9,34,.265,13,21,.619,17,80
Memphis Grizzlies,2018-02-24,35,80,.438,5,11,.455,14,17,.824,22,89
Chicago Bulls,2018-02-24,42,90,.467,6,23,.261,14,20,.700,20,104
Boston Celtics,2018-02-24,42,93,.452,13,33,.394,24,28,.857,15,121
Orlando Magic,2018-02-24,38,85,.447,13,31,.419,16,19,.842,20,105
Portland Trail Blazers,2018-02-24,39,99,.394,6,30,.200,22,30,.733,19,106
Los Angeles Lakers,2018-02-24,41,91,.451,17,38,.447,14,20,.700,18,113
Dallas Mavericks,2018-02-24,34,83,.410,10,35,.286,12,14,.857,23,90
Detroit Pistons,2018-02-25,42,85,.494,4,18,.222,10,14,.714,22,98
San Antonio Spurs,2018-02-25,38,86,.442,9,19,.474,25,32,.781,12,110
Houston Rockets,2018-02-25,39,77,.506,15,35,.429,26,32,.813,23,119
New Orleans Pelicans,2018-02-25,51,107,.477,10,30,.333,11,14,.786,24,123
Philadelphia 76ers,2018-02-25,31,86,.360,9,33,.273,23,31,.742,16,94
Los Angeles Lakers,2018-02-26,47,90,.522,15,33,.455,14,19,.737,23,123
Memphis Grizzlies,2018-02-26,34,78,.436,5,23,.217,25,32,.781,22,98
Chicago Bulls,2018-02-26,33,93,.355,6,23,.261,15,23,.652,11,87
Indiana Pacers,2018-02-26,41,87,.471,5,20,.250,16,23,.696,19,103
Phoenix Suns,2018-02-26,42,97,.433,7,24,.292,25,32,.781,33,116
Golden State Warriors,2018-02-26,44,85,.518,15,31,.484,22,26,.846,13,125
Orlando Magic,2018-02-26,39,84,.464,12,29,.414,15,21,.714,19,105
Minnesota Timberwolves,2018-02-26,39,76,.513,7,16,.438,33,36,.917,14,118
Detroit Pistons,2018-02-26,36,94,.383,7,22,.318,15,20,.750,22,94
Houston Rockets,2018-02-26,34,79,.430,9,33,.273,19,25,.760,21,96
Chicago Bulls,2018-02-27,39,81,.481,9,24,.375,16,21,.762,23,103
Brooklyn Nets,2018-02-27,44,82,.537,12,32,.375,23,30,.767,21,123
Los Angeles Clippers,2018-02-27,46,89,.517,7,26,.269,23,31,.742,25,122
Philadelphia 76ers,2018-02-27,35,84,.417,12,31,.387,19,23,.826,24,101
Washington Wizards,2018-02-27,42,88,.477,7,20,.350,16,22,.727,22,107
Sacramento Kings,2018-02-27,39,88,.443,7,22,.318,14,15,.933,12,99
Indiana Pacers,2018-02-28,38,90,.422,11,32,.344,15,20,.750,20,102
Charlotte Hornets,2018-02-28,42,91,.462,9,27,.333,13,22,.591,17,106
Oklahoma City Thunder,2018-02-28,42,93,.452,10,36,.278,17,19,.895,24,111
Milwaukee Bucks,2018-02-28,28,73,.384,8,24,.333,23,28,.821,20,87
Houston Rockets,2018-02-28,36,85,.424,13,43,.302,20,24,.833,21,105
Phoenix Suns,2018-02-28,38,83,.458,6,21,.286,28,38,.737,28,110
Toronto Raptors,2018-02-28,45,83,.542,12,30,.400,15,24,.625,22,117
New Orleans Pelicans,2018-02-28,50,99,.505,9,26,.346,12,15,.800,17,121
Golden State Warriors,2018-02-28,37,72,.514,10,24,.417,25,30,.833,21,109
Philadelphia 76ers,2018-03-01,40,90,.444,10,30,.333,18,27,.667,20,108
Los Angeles Lakers,2018-03-01,47,79,.595,16,29,.552,21,26,.808,17,131
Minnesota Timberwolves,2018-03-01,38,85,.447,4,20,.200,19,21,.905,24,99
Brooklyn Nets,2018-03-01,40,96,.417,17,46,.370,14,17,.824,14,111
Golden State Warriors,2018-03-02,42,79,.532,11,31,.355,19,22,.864,20,114
Dallas Mavericks,2018-03-02,35,84,.417,13,29,.448,17,21,.810,15,100
New York Knicks,2018-03-02,41,89,.461,11,25,.440,12,16,.750,22,105
Denver Nuggets,2018-03-02,40,73,.548,6,22,.273,22,26,.846,22,108
Indiana Pacers,2018-03-02,37,83,.446,6,16,.375,23,30,.767,23,103
Detroit Pistons,2018-03-02,40,92,.435,12,29,.414,14,24,.583,17,106
Charlotte Hornets,2018-03-02,34,81,.420,11,24,.458,20,32,.625,25,99
Oklahoma City Thunder,2018-03-02,46,96,.479,11,34,.324,21,29,.724,20,124
Minnesota Timberwolves,2018-03-02,38,74,.514,9,17,.529,23,31,.742,23,108
Toronto Raptors,2018-03-02,36,78,.462,10,33,.303,20,32,.625,22,102
Denver Nuggets,2018-03-03,47,86,.547,19,35,.543,13,15,.867,19,126
Boston Celtics,2018-03-03,44,91,.484,13,24,.542,19,21,.905,21,120
Detroit Pistons,2018-03-03,37,89,.416,7,24,.292,15,21,.714,23,96
Memphis Grizzlies,2018-03-03,38,93,.409,6,22,.273,18,26,.692,26,100
Oklahoma City Thunder,2018-03-03,40,91,.440,6,27,.222,14,21,.667,21,100
Utah Jazz,2018-03-03,34,82,.415,11,32,.344,19,29,.655,19,98
Los Angeles Lakers,2018-03-03,40,92,.435,15,34,.441,21,27,.778,21,116
Phoenix Suns,2018-03-04,46,92,.500,11,26,.423,9,15,.600,19,112
New Orleans Pelicans,2018-03-04,49,91,.538,12,26,.462,16,21,.762,21,126
Brooklyn Nets,2018-03-04,40,92,.435,19,45,.422,21,23,.913,21,120
Philadelphia 76ers,2018-03-04,39,70,.557,14,28,.500,18,22,.818,24,110
New York Knicks,2018-03-04,40,88,.455,6,21,.286,13,18,.722,19,99
Charlotte Hornets,2018-03-04,32,85,.376,5,21,.238,29,35,.829,21,98
Indiana Pacers,2018-03-04,34,77,.442,8,25,.320,22,24,.917,18,98
Boston Celtics,2018-03-05,41,84,.488,12,36,.333,11,12,.917,13,105
Detroit Pistons,2018-03-05,34,87,.391,12,34,.353,10,15,.667,22,90
Milwaukee Bucks,2018-03-05,34,76,.447,7,23,.304,14,16,.875,16,89
Portland Trail Blazers,2018-03-05,35,83,.422,10,23,.435,28,38,.737,25,108
Phoenix Suns,2018-03-05,42,87,.483,10,24,.417,9,18,.500,20,103
Memphis Grizzlies,2018-03-05,42,80,.525,8,22,.364,6,9,.667,22,98
Orlando Magic,2018-03-05,29,85,.341,11,34,.324,11,14,.786,19,80
Philadelphia 76ers,2018-03-06,50,87,.575,16,33,.485,12,15,.800,20,128
Denver Nuggets,2018-03-06,38,92,.413,11,36,.306,20,26,.769,16,107
Brooklyn Nets,2018-03-06,36,85,.424,9,34,.265,20,25,.800,18,101
New Orleans Pelicans,2018-03-06,46,103,.447,13,30,.433,16,18,.889,20,121
Houston Rockets,2018-03-06,38,72,.528,17,33,.515,29,34,.853,20,122
New York Knicks,2018-03-06,35,83,.422,7,19,.368,10,15,.667,19,87
Atlanta Hawks,2018-03-06,34,80,.425,6,21,.286,16,21,.762,25,90
Miami Heat,2018-03-06,42,94,.447,9,33,.273,20,27,.741,24,113
Memphis Grizzlies,2018-03-07,40,82,.488,10,29,.345,20,25,.800,26,110
Cleveland Cavaliers,2018-03-07,44,87,.506,13,29,.448,12,18,.667,19,113
Toronto Raptors,2018-03-07,45,101,.446,12,40,.300,19,21,.905,20,121
Utah Jazz,2018-03-07,41,80,.513,11,31,.355,11,16,.688,18,104
Orlando Magic,2018-03-07,42,84,.500,12,28,.429,11,19,.579,22,107
Houston Rockets,2018-03-07,39,82,.476,14,40,.350,18,27,.667,21,110
New Orleans Pelicans,2018-03-07,47,83,.566,11,26,.423,9,9,1.000,22,114
Brooklyn Nets,2018-03-08,47,92,.511,11,32,.344,20,22,.909,27,125
San Antonio Spurs,2018-03-08,43,95,.453,6,22,.273,15,18,.833,20,107
Philadelphia 76ers,2018-03-08,34,86,.395,15,37,.405,16,21,.762,20,99
Boston Celtics,2018-03-08,43,87,.494,11,32,.344,20,27,.741,17,117
Phoenix Suns,2018-03-08,31,92,.337,9,37,.243,16,18,.889,25,87
Los Angeles Lakers,2018-03-09,45,92,.489,14,35,.400,12,16,.750,23,116
Chicago Bulls,2018-03-09,33,93,.355,9,31,.290,8,10,.800,19,83
Atlanta Hawks,2018-03-09,34,82,.415,10,33,.303,9,10,.900,13,87
Cleveland Cavaliers,2018-03-09,39,87,.448,12,36,.333,12,18,.667,28,102
Utah Jazz,2018-03-09,33,74,.446,13,32,.406,16,22,.727,17,95
New York Knicks,2018-03-09,47,98,.480,7,28,.250,11,14,.786,26,112
Washington Wizards,2018-03-09,46,96,.479,9,26,.346,15,20,.750,16,116
Golden State Warriors,2018-03-09,38,78,.487,12,28,.429,20,24,.833,20,108
Orlando Magic,2018-03-09,33,78,.423,9,29,.310,13,16,.813,17,88
Houston Rockets,2018-03-09,40,81,.494,9,27,.333,16,23,.696,13,105
Phoenix Suns,2018-03-10,42,83,.506,18,32,.563,13,19,.684,25,115
Memphis Grizzlies,2018-03-10,30,84,.357,7,18,.389,13,17,.765,24,80
Orlando Magic,2018-03-10,38,84,.452,8,24,.333,21,27,.778,19,105
Washington Wizards,2018-03-10,34,77,.442,7,20,.350,27,34,.794,20,102
San Antonio Spurs,2018-03-10,40,86,.465,10,20,.500,4,7,.571,22,94
Chicago Bulls,2018-03-11,48,98,.490,17,37,.459,16,19,.842,24,129
Indiana Pacers,2018-03-11,39,81,.481,12,22,.545,9,10,.900,20,99
Philadelphia 76ers,2018-03-11,50,95,.526,9,26,.346,11,18,.611,19,120
Houston Rockets,2018-03-11,39,84,.464,17,45,.378,10,14,.714,22,105
Sacramento Kings,2018-03-11,39,91,.429,6,31,.194,20,26,.769,21,104
Cleveland Cavaliers,2018-03-11,41,88,.466,12,31,.387,19,23,.826,18,113
Golden State Warriors,2018-03-11,37,91,.407,10,36,.278,19,21,.905,17,103
Utah Jazz,2018-03-11,40,96,.417,12,32,.375,24,25,.960,20,116
Toronto Raptors,2018-03-11,47,93,.505,16,35,.457,22,25,.880,19,132
San Antonio Spurs,2018-03-12,33,81,.407,11,28,.393,16,23,.696,17,93
Milwaukee Bucks,2018-03-12,47,81,.580,12,25,.480,15,22,.682,22,121
Sacramento Kings,2018-03-12,38,93,.409,12,33,.364,13,16,.813,22,101
Miami Heat,2018-03-12,39,91,.429,10,31,.323,11,16,.688,24,99
Oklahoma City Thunder,2018-03-13,42,89,.472,16,35,.457,19,25,.760,21,119
Toronto Raptors,2018-03-13,44,91,.484,11,31,.355,17,21,.810,20,116
Los Angeles Clippers,2018-03-13,37,76,.487,8,29,.276,30,41,.732,14,112
Denver Nuggets,2018-03-13,38,86,.442,13,40,.325,14,19,.737,26,103
Charlotte Hornets,2018-03-13,45,93,.484,7,26,.269,18,22,.818,13,115
Dallas Mavericks,2018-03-13,40,89,.449,14,35,.400,16,18,.889,15,110
Indiana Pacers,2018-03-13,38,95,.400,5,24,.208,20,25,.800,23,101
Cleveland Cavaliers,2018-03-13,43,87,.494,17,35,.486,26,30,.867,25,129
Orlando Magic,2018-03-13,28,82,.341,7,23,.304,9,9,1.000,19,72
Detroit Pistons,2018-03-13,30,80,.375,5,25,.200,14,19,.737,23,79
Minnesota Timberwolves,2018-03-13,46,87,.529,7,21,.333,17,19,.895,21,116
Washington Wizards,2018-03-14,46,97,.474,12,32,.375,21,28,.750,26,125
Los Angeles Lakers,2018-03-14,38,84,.452,12,38,.316,18,28,.643,19,106
Milwaukee Bucks,2018-03-14,49,98,.500,10,24,.417,9,12,.750,20,117
Miami Heat,2018-03-14,41,99,.414,18,43,.419,19,21,.905,23,119
Charlotte Hornets,2018-03-15,46,87,.529,17,33,.515,20,30,.667,21,129
Detroit Pistons,2018-03-15,44,92,.478,14,27,.519,11,17,.647,20,113
Los Angeles Clippers,2018-03-15,44,97,.454,4,18,.222,4,8,.500,21,96
Toronto Raptors,2018-03-15,35,79,.443,12,32,.375,24,28,.857,19,106
Chicago Bulls,2018-03-15,35,80,.438,15,41,.366,26,33,.788,23,111
Philadelphia 76ers,2018-03-15,41,91,.451,15,37,.405,21,34,.618,21,118
Cleveland Cavaliers,2018-03-15,41,80,.513,11,33,.333,12,21,.571,21,105
New Orleans Pelicans,2018-03-15,36,90,.400,6,16,.375,15,16,.938,18,93
Phoenix Suns,2018-03-15,32,83,.386,7,16,.438,17,24,.708,25,88
Sacramento Kings,2018-03-16,36,83,.434,14,31,.452,12,17,.706,16,98
Miami Heat,2018-03-16,36,94,.383,10,36,.278,10,14,.714,18,92
Los Angeles Clippers,2018-03-16,42,86,.488,11,26,.423,18,23,.783,18,113
Boston Celtics,2018-03-16,31,82,.378,9,26,.346,21,28,.750,17,92
Brooklyn Nets,2018-03-16,40,89,.449,15,30,.500,21,27,.778,22,116
Dallas Mavericks,2018-03-16,48,91,.527,6,22,.273,13,18,.722,27,115
Dallas Mavericks,2018-03-17,41,92,.446,12,22,.545,12,14,.857,21,106
Cleveland Cavaliers,2018-03-17,44,87,.506,13,37,.351,13,20,.650,14,114
Denver Nuggets,2018-03-17,32,87,.368,9,33,.273,21,29,.724,25,94
Atlanta Hawks,2018-03-17,39,85,.459,12,36,.333,27,28,.964,25,117
Houston Rockets,2018-03-17,39,93,.419,15,41,.366,14,18,.778,19,107
Charlotte Hornets,2018-03-17,33,90,.367,9,33,.273,26,32,.813,13,101
Golden State Warriors,2018-03-17,50,95,.526,13,31,.419,11,14,.786,21,124
Detroit Pistons,2018-03-17,31,80,.388,10,25,.400,15,20,.750,16,87
Minnesota Timberwolves,2018-03-17,39,81,.481,7,12,.583,16,20,.800,16,101
Sacramento Kings,2018-03-17,37,86,.430,14,21,.667,9,14,.643,30,97
Indiana Pacers,2018-03-17,39,86,.453,12,24,.500,12,15,.800,18,102
Portland Trail Blazers,2018-03-18,46,92,.500,14,29,.483,16,20,.800,22,122
Houston Rockets,2018-03-18,43,78,.551,16,35,.457,27,36,.750,26,129
Boston Celtics,2018-03-18,35,87,.402,9,26,.346,10,20,.500,21,89
Oklahoma City Thunder,2018-03-18,49,88,.557,10,21,.476,24,34,.706,24,132
Memphis Grizzlies,2018-03-19,46,88,.523,10,23,.435,13,20,.650,33,115
Milwaukee Bucks,2018-03-19,45,88,.511,8,31,.258,19,20,.950,23,117
Los Angeles Lakers,2018-03-19,38,86,.442,8,33,.242,16,23,.696,18,100
Denver Nuggets,2018-03-19,46,100,.460,18,38,.474,31,37,.838,25,141
Chicago Bulls,2018-03-19,33,92,.359,3,30,.100,23,31,.742,15,92
Charlotte Hornets,2018-03-19,32,84,.381,6,22,.273,24,30,.800,12,94
Detroit Pistons,2018-03-19,37,79,.468,14,29,.483,18,22,.818,11,106
Golden State Warriors,2018-03-19,30,74,.405,3,19,.158,12,16,.750,24,75
Oklahoma City Thunder,2018-03-20,35,85,.412,10,27,.370,19,29,.655,20,99
Los Angeles Clippers,2018-03-20,40,93,.430,8,24,.333,21,26,.808,22,109
Dallas Mavericks,2018-03-20,43,90,.478,10,35,.286,9,11,.818,14,105
Toronto Raptors,2018-03-20,35,77,.455,14,36,.389,9,17,.529,10,93
Detroit Pistons,2018-03-20,43,97,.443,15,36,.417,14,16,.875,16,115
Houston Rockets,2018-03-20,38,79,.481,19,36,.528,20,29,.690,23,115
Atlanta Hawks,2018-03-20,38,94,.404,9,33,.273,14,19,.737,23,99
Charlotte Hornets,2018-03-21,36,94,.383,3,16,.188,36,47,.766,16,111
Denver Nuggets,2018-03-21,51,83,.614,20,35,.571,13,16,.813,13,135
Toronto Raptors,2018-03-21,47,88,.534,15,34,.441,20,23,.870,23,129
New York Knicks,2018-03-21,39,89,.438,10,31,.323,10,12,.833,16,98
Los Angeles Clippers,2018-03-21,45,86,.523,15,30,.500,22,29,.759,16,127
Indiana Pacers,2018-03-21,34,93,.366,7,22,.318,17,18,.944,21,92
Memphis Grizzlies,2018-03-21,40,99,.404,9,27,.333,16,20,.800,20,105
Washington Wizards,2018-03-21,35,83,.422,8,25,.320,12,16,.750,16,90
Memphis Grizzlies,2018-03-22,30,78,.385,4,18,.222,15,21,.714,24,79
Utah Jazz,2018-03-22,46,87,.529,12,29,.414,15,16,.938,19,119
Detroit Pistons,2018-03-22,40,95,.421,6,38,.158,10,19,.526,17,96
Los Angeles Lakers,2018-03-22,43,87,.494,17,39,.436,22,28,.786,20,125
Philadelphia 76ers,2018-03-22,42,89,.472,15,37,.405,19,24,.792,15,118
Atlanta Hawks,2018-03-22,33,84,.393,12,36,.333,12,18,.667,10,90
Milwaukee Bucks,2018-03-23,43,87,.494,15,30,.500,17,19,.895,20,118
Phoenix Suns,2018-03-23,38,87,.437,7,28,.250,12,20,.600,23,95
Atlanta Hawks,2018-03-23,37,84,.440,11,32,.344,9,20,.450,14,94
